Timestamp,OAT (F),Power (kW)
2010-06-05 22:30:00,67,357.9
2010-06-05 22:45:00,67,362.1
2010-06-05 23:00:00,67,354.1
2010-06-05 23:15:00,66,280.5
2010-06-05 23:30:00,66,253.4
2010-06-05 23:45:00,66,216.6
2010-06-06 00:00:00,66,212.2
2010-06-06 00:15:00,65,200.9
2010-06-06 00:30:00,65,206.6
2010-06-06 00:45:00,65,194.1
2010-06-06 01:00:00,65,210.6
2010-06-06 01:15:00,64,200.0
2010-06-06 01:30:00,64,224.1
2010-06-06 01:45:00,64,182.7
2010-06-06 02:00:00,64,202.4
2010-06-06 02:15:00,64,188.6
2010-06-06 02:30:00,64,206.5
2010-06-06 02:45:00,64,207.8
2010-06-06 03:00:00,64,203.2
2010-06-06 03:15:00,64,213.8
2010-06-06 03:30:00,64,204.1
2010-06-06 03:45:00,64,210.4
2010-06-06 04:00:00,64,215.4
2010-06-06 04:15:00,64,212.0
2010-06-06 04:30:00,64,210.9
2010-06-06 04:45:00,64,185.3
2010-06-06 05:00:00,64,201.8
2010-06-06 05:15:00,64,196.3
2010-06-06 05:30:00,64,207.0
2010-06-06 05:45:00,64,204.3
2010-06-06 06:00:00,64,189.9
2010-06-06 06:15:00,64,179.3
2010-06-06 06:30:00,64,189.0
2010-06-06 06:45:00,64,183.5
2010-06-06 07:00:00,64,191.3
2010-06-06 07:15:00,65,230.7
2010-06-06 07:30:00,65,228.6
2010-06-06 07:45:00,65,225.4
2010-06-06 08:00:00,65,229.0
2010-06-06 08:15:00,65,317.5
2010-06-06 08:30:00,65,326.5
2010-06-06 08:45:00,65,324.1
2010-06-06 09:00:00,65,314.1
2010-06-06 09:15:00,68,320.7
2010-06-06 09:30:00,68,312.3
2010-06-06 09:45:00,68,342.3
2010-06-06 10:00:00,68,348.4
2010-06-06 10:15:00,69,344.8
2010-06-06 10:30:00,69,345.3
2010-06-06 10:45:00,69,352.7
2010-06-06 11:00:00,69,344.0
2010-06-06 11:15:00,71,356.9
2010-06-06 11:30:00,71,367.2
2010-06-06 11:45:00,71,357.4
2010-06-06 12:00:00,71,354.6
2010-06-06 12:15:00,72,359.1
2010-06-06 12:30:00,72,366.6
2010-06-06 12:45:00,72,365.5
2010-06-06 13:00:00,72,371.8
2010-06-06 13:15:00,74,359.5
2010-06-06 13:30:00,74,372.3
2010-06-06 13:45:00,74,376.8
2010-06-06 14:00:00,74,372.3
2010-06-06 14:15:00,76,378.7
2010-06-06 14:30:00,76,375.6
2010-06-06 14:45:00,76,384.8
2010-06-06 15:00:00,76,363.7
2010-06-06 15:15:00,74,362.5
2010-06-06 15:30:00,74,367.2
2010-06-06 15:45:00,74,368.4
2010-06-06 16:00:00,74,367.0
2010-06-06 16:15:00,77,366.5
2010-06-06 16:30:00,77,350.4
2010-06-06 16:45:00,77,354.3
2010-06-06 17:00:00,77,348.4
2010-06-06 17:15:00,78,364.9
2010-06-06 17:30:00,78,356.8
2010-06-06 17:45:00,78,358.1
2010-06-06 18:00:00,78,350.2
2010-06-06 18:15:00,75,337.6
2010-06-06 18:30:00,75,335.1
2010-06-06 18:45:00,75,349.7
2010-06-06 19:00:00,75,321.6
2010-06-06 19:15:00,72,333.3
2010-06-06 19:30:00,72,331.2
2010-06-06 19:45:00,72,327.0
2010-06-06 20:00:00,72,325.4
2010-06-06 20:15:00,67,321.5
2010-06-06 20:30:00,67,365.4
2010-06-06 20:45:00,67,370.1
2010-06-06 21:00:00,67,369.9
2010-06-06 21:15:00,63,365.0
2010-06-06 21:30:00,63,363.5
2010-06-06 21:45:00,63,325.0
2010-06-06 22:00:00,63,363.4
2010-06-06 22:15:00,61,237.7
2010-06-06 22:30:00,61,245.0
2010-06-06 22:45:00,61,195.0
2010-06-06 23:00:00,61,193.1
2010-06-06 23:15:00,61,192.6
2010-06-06 23:30:00,61,192.7
2010-06-06 23:45:00,61,199.5
2010-06-07 00:00:00,61,206.8
2010-06-07 00:15:00,60,182.1
2010-06-07 00:30:00,60,191.5
2010-06-07 00:45:00,60,182.5
2010-06-07 01:00:00,60,189.3
2010-06-07 01:15:00,61,203.9
2010-06-07 01:30:00,61,203.0
2010-06-07 01:45:00,61,203.9
2010-06-07 02:00:00,61,181.2
2010-06-07 02:15:00,61,207.1
2010-06-07 02:30:00,61,198.5
2010-06-07 02:45:00,61,195.2
2010-06-07 03:00:00,61,190.1
2010-06-07 03:15:00,60,194.7
2010-06-07 03:30:00,60,193.4
2010-06-07 03:45:00,60,191.0
2010-06-07 04:00:00,60,198.3
2010-06-07 04:15:00,59,210.9
2010-06-07 04:30:00,59,200.7
2010-06-07 04:45:00,59,185.2
2010-06-07 05:00:00,59,203.3
2010-06-07 05:15:00,58,188.5
2010-06-07 05:30:00,58,200.0
2010-06-07 05:45:00,58,197.1
2010-06-07 06:00:00,58,187.2
2010-06-07 06:15:00,58,187.2
2010-06-07 06:30:00,58,195.4
2010-06-07 06:45:00,58,189.0
2010-06-07 07:00:00,58,187.5
2010-06-07 07:15:00,59,207.3
2010-06-07 07:30:00,59,213.6
2010-06-07 07:45:00,59,210.7
2010-06-07 08:00:00,59,214.0
2010-06-07 08:15:00,60,307.7
2010-06-07 08:30:00,60,303.3
2010-06-07 08:45:00,60,309.2
2010-06-07 09:00:00,60,329.7
2010-06-07 09:15:00,64,288.6
2010-06-07 09:30:00,64,310.0
2010-06-07 09:45:00,64,297.6
2010-06-07 10:00:00,64,304.5
2010-06-07 10:15:00,65,315.2
2010-06-07 10:30:00,65,298.5
2010-06-07 10:45:00,65,310.4
2010-06-07 11:00:00,65,342.9
2010-06-07 11:15:00,64,304.8
2010-06-07 11:30:00,64,315.9
2010-06-07 11:45:00,64,324.2
2010-06-07 12:00:00,64,316.3
2010-06-07 12:15:00,66,315.9
2010-06-07 12:30:00,66,340.9
2010-06-07 12:45:00,66,324.0
2010-06-07 13:00:00,66,300.0
2010-06-07 13:15:00,68,324.6
2010-06-07 13:30:00,68,341.4
2010-06-07 13:45:00,68,350.9
2010-06-07 14:00:00,68,298.4
2010-06-07 14:15:00,68,324.7
2010-06-07 14:30:00,68,342.8
2010-06-07 14:45:00,68,348.2
2010-06-07 15:00:00,68,319.2
2010-06-07 15:15:00,68,350.4
2010-06-07 15:30:00,68,332.0
2010-06-07 15:45:00,68,336.6
2010-06-07 16:00:00,68,315.6
2010-06-07 16:15:00,70,329.1
2010-06-07 16:30:00,70,353.1
2010-06-07 16:45:00,70,298.6
2010-06-07 17:00:00,70,313.4
2010-06-07 17:15:00,69,332.8
2010-06-07 17:30:00,69,319.1
2010-06-07 17:45:00,69,327.0
2010-06-07 18:00:00,69,312.3
2010-06-07 18:15:00,66,302.1
2010-06-07 18:30:00,66,317.5
2010-06-07 18:45:00,66,309.8
2010-06-07 19:00:00,66,325.4
2010-06-07 19:15:00,65,312.2
2010-06-07 19:30:00,65,326.1
2010-06-07 19:45:00,65,293.5
2010-06-07 20:00:00,65,321.0
2010-06-07 20:15:00,61,296.3
2010-06-07 20:30:00,61,339.5
2010-06-07 20:45:00,61,361.6
2010-06-07 21:00:00,61,333.2
2010-06-07 21:15:00,60,366.9
2010-06-07 21:30:00,60,336.7
2010-06-07 21:45:00,60,357.3
2010-06-07 22:00:00,60,366.0
2010-06-07 22:15:00,58,323.9
2010-06-07 22:30:00,58,341.3
2010-06-07 22:45:00,58,327.2
2010-06-07 23:00:00,58,309.6
2010-06-07 23:15:00,58,253.9
2010-06-07 23:30:00,58,233.1
2010-06-07 23:45:00,58,186.3
